court	docket_date	case_count	case_numbers
5-1	2025-03-03	1	255100040712
5-1	2025-03-12	1	255100040712
5-1	2025-02-20	1	255100040681
5-1	2025-03-03	1	255100040681
5-1	2025-03-12	1	255100040681
5-1	2025-02-20	1	255100040744
5-1	2025-03-03	1	255100040744
5-1	2025-03-12	1	255100040744
5-1	2025-02-20	1	255100040649
5-1	2025-03-03	1	255100040649
5-1	2025-02-20	3	255100040776, 255100040728, 255100040789
5-1	2025-03-03	1	255100040789
5-1	2025-03-12	1	255100040789
5-1	2025-02-20	1	255100040798
5-1	2025-03-03	1	255100040798
5-1	2025-03-12	1	255100040798
5-1	2025-02-20	1	255100040805
5-1	2025-03-03	1	255100040805
5-1	2025-03-12	1	255100040805
5-1	2025-02-20	1	255100040808
5-1	2025-03-03	1	255100040808
5-1	2025-03-12	1	255100040808
5-1	2025-02-20	1	255100040813
5-1	2025-02-18	1	255100040982
5-1	2025-02-20	1	255100040987
5-1	2025-03-12	1	255100040987
5-1	2025-02-25	1	255100045532
5-1	2025-02-20	1	255100040988
5-1	2025-02-26	1	255100040988
5-1	2025-02-20	1	255100040989
5-1	2025-02-25	1	255100045538
5-1	2025-02-20	1	255100040990
5-1	2025-02-25	1	255100045582
5-1	2025-03-11	1	255100045582
5-1	2025-02-25	5	255100045623, 255100045661, 255100045600, 255100045596, 255100045670
5-1	2025-03-06	1	255100045670
5-1	2025-02-25	1	255100048077
5-1	2025-03-07	1	255100048077
5-1	2025-02-25	1	255100048049
5-1	2025-03-14	1	255100048049
5-1	2025-02-25	3	255100045671, 255100048087, 255100048061
5-1	2025-03-04	1	255100045671
5-1	2025-02-25	1	255100048691
5-1	2025-03-12	1	255100048691
5-1	2025-04-04	1	255100048691
5-1	2025-02-25	2	255100048694, 255100048684
5-1	2025-03-04	1	255100048694
5-1	2025-02-25	1	255100048712
5-1	2025-02-26	4	255100048981, 255100048966, 255100048955, 255100048961
5-1	2025-02-25	1	255100048993
5-1	2025-03-18	1	255100048993
5-1	2025-03-25	1	255100048993
5-1	2025-03-11	1	255100050889
5-1	2025-03-18	1	255100050889
5-1	2025-04-11	1	255100050889
5-1	2025-03-11	1	255100050901
5-2	2025-01-23	1	255200000813
5-1	2025-03-11	1	255100050913
5-2	2025-02-11	1	255200001496
5-2	2025-01-23	8	255200000961, 255200001496, 255200000814, 255200001594, 255200001599, 255200001430, 255200001287, 255200001507
5-2	2025-01-30	1	255200001599
5-2	2025-02-17	1	255200001599
5-2	2025-01-23	2	255200001615, 255200001614
5-2	2025-01-27	1	255200001609
5-2	2025-03-03	1	255200001609
5-2	2025-03-27	1	255200001609
5-2	2025-01-27	1	255200002382
5-2	2025-01-23	1	255200001616
5-2	2025-01-27	13	255200002388, 255200002420, 255200002409, 255200002414, 255200002403, 255200002401, 255200002402, 255200002423, 255200002557, 255200002453, 255200002630, 255200002396, 255200002428
5-2	2025-02-10	1	255200002626
5-2	2025-01-27	1	255200002626
5-2	2025-02-11	1	255200002508
5-2	2025-01-27	2	255200002508, 255200002514
5-2	2025-02-11	1	255200002517
5-2	2025-01-27	2	255200002770, 255200002517
5-2	2025-02-03	1	255200002770
5-2	2025-01-27	1	255200002706
5-2	2025-03-10	1	255200002706
5-2	2025-01-27	7	255200002795, 255200002905, 255200002642, 255200002891, 255200002808, 255200002834, 255200002829
5-2	2025-01-28	1	255200002972
5-2	2025-01-27	1	255200003036
5-2	2025-02-03	1	255200003036
5-2	2025-02-11	1	255200003053
5-2	2025-01-27	4	255200003053, 255200003043, 255200003044, 255200003001
5-2	2025-02-11	1	255200003043
5-2	2025-01-27	2	255200004908, 255200005022
5-2	2025-02-03	1	255200005022
5-2	2025-01-27	4	255200005250, 255200005339, 255200005023, 255200005133
5-2	2025-02-03	1	255200005250
5-2	2025-01-27	1	255200005576
5-2	2025-02-05	1	255200005576
5-2	2025-01-27	3	255200005459, 255200005585, 255200005562
5-2	2025-02-12	1	255200005598
5-2	2025-02-03	1	255200005613
5-2	2025-02-11	1	255200005613
5-2	2025-01-30	1	255200005615
5-2	2025-02-11	1	255200005616
5-2	2025-01-30	1	255200005616
5-2	2025-02-27	1	255200005616
5-2	2025-01-30	2	255200005630, 255200005618
5-2	2025-01-27	1	255200005679
5-2	2025-02-11	1	255200005679
5-2	2025-01-27	3	255200005672, 255200005794, 255200005723
5-2	2025-02-03	1	255200005672
5-2	2025-01-27	8	255200005866, 255200005830, 255200005694, 255200006777, 255200005820, 255200006739, 255200005869, 255200005882
5-2	2025-01-28	3	255200006833, 255200006940, 255200006886
5-2	2025-02-11	1	255200007007
5-2	2025-01-28	3	255200007038, 255200006891, 255200007007
5-2	2025-02-17	1	255200007038
5-2	2025-02-24	1	255200007038
5-2	2025-01-28	3	255200007044, 255200006941, 255200006876
5-2	2025-02-11	1	255200007044
5-2	2025-01-28	3	255200007165, 255200007105, 255200007071
5-2	2025-02-11	1	255200007208
5-2	2025-01-28	1	255200007208
5-2	2025-02-24	1	255200007208
5-2	2025-01-28	2	255200007251, 255200007054
5-2	2025-02-20	1	255200007074
5-2	2025-02-11	1	255200007074
5-2	2025-01-28	13	255200007353, 255200007447, 255200007448, 255200007293, 255200007255, 255200007451, 255200007295, 255200007355, 255200007351, 255200007449, 255200007468, 255200007472, 255200007336
5-2	2025-02-12	1	255200007451
5-2	2025-01-28	1	255200007536
5-2	2025-02-11	1	255200007484
5-2	2025-01-28	4	255200007557, 255200007475, 255200007484, 255200007612
5-2	2025-02-10	1	255200007612
5-2	2025-02-24	1	255200007612
5-2	2025-03-10	1	255200007612
5-2	2025-01-28	5	255200008743, 255200008285, 255200008523, 255200008520, 255200008551
5-2	2025-02-17	1	255200008799
5-2	2025-01-30	1	255200008799
5-2	2025-02-17	1	255200008804
5-2	2025-02-24	2	255200008839, 255200008834
5-2	2025-01-28	1	255200008926
5-2	2025-02-20	1	255200008926
5-2	2025-01-30	1	255200008840
5-2	2025-02-17	1	255200008840
5-2	2025-01-28	1	255200008976
5-2	2025-01-30	2	255200008997, 255200008990
5-2	2025-02-11	1	255200008997
5-2	2025-01-30	1	255200009001
5-2	2025-02-11	1	255200009045
5-2	2025-01-30	7	255200009052, 255200009047, 255200009039, 255200009074, 255200009080, 255200009045, 255200009076
5-2	2025-02-17	1	255200009039
5-2	2025-01-30	1	255200009081
5-2	2025-02-11	1	255200009084
5-2	2025-01-30	2	255200009084, 255200009094
5-2	2025-02-11	1	255200009096
5-2	2025-01-30	2	255200009134, 255200009096
5-2	2025-02-17	1	255200009134
5-2	2025-01-30	2	255200009144, 255200009112
5-2	2025-05-01	1	255200009112
5-2	2025-02-11	1	255200009110
5-2	2025-01-30	1	255200009110
5-2	2025-02-11	1	255200009197
5-2	2025-01-30	1	255200009197
5-2	2025-02-17	1	255200009204
5-2	2025-01-30	2	255200009204, 255200010196
5-2	2025-02-11	1	255200010196
5-2	2025-01-30	1	255200009258
5-2	2025-02-17	1	255200009258
5-2	2025-01-30	2	255200010211, 255200010220
5-2	2025-02-11	1	255200010220
5-2	2025-01-30	1	255200010221
5-2	2025-02-11	2	255200010331, 255200010221
5-2	2025-01-30	5	255200010425, 255200010331, 255200010394, 255200010319, 255200010212
5-2	2025-02-11	1	255200010360
5-2	2025-01-30	3	255200010512, 255200010360, 255200010506
5-2	2025-02-17	1	255200010573
5-2	2025-01-30	1	255200010573
5-2	2025-03-03	1	255200010573
5-2	2025-03-20	1	255200010573
5-2	2025-02-11	1	255200010619
5-2	2025-01-30	1	255200010619
5-2	2025-02-17	1	255200010660
5-2	2025-01-30	2	255200010683, 255200010660
5-2	2025-02-17	1	255200010674
5-2	2025-01-30	2	255200010622, 255200010674
5-2	2025-02-03	1	255200010687
5-2	2025-02-17	1	255200010687
5-2	2025-01-30	2	255200010620, 255200010664
5-2	2025-02-17	1	255200010664
5-2	2025-01-30	1	255200010686
5-2	2025-02-17	2	255200010686, 255200010698
5-2	2025-01-30	1	255200010698
5-2	2025-02-17	1	255200010692
5-2	2025-01-30	1	255200010692
5-2	2025-02-17	1	255200010693
5-2	2025-02-03	1	255200010693
5-2	2025-01-30	3	255200010787, 255200010760, 255200010784
5-2	2025-02-17	1	255200010736
5-2	2025-02-03	2	255200010736, 255200010757
5-2	2025-02-11	1	255200010911
5-2	2025-01-30	1	255200010911
5-2	2025-02-17	1	255200010923
5-2	2025-01-30	1	255200010923
5-2	2025-02-11	1	255200010929
5-2	2025-01-30	2	255200010809, 255200010929
5-2	2025-02-11	1	255200010930
5-2	2025-01-30	1	255200010930
5-2	2025-02-11	1	255200010959
5-2	2025-01-30	1	255200010959
5-2	2025-02-17	1	255200010903
5-2	2025-01-30	1	255200010903
5-2	2025-02-11	1	255200010958
5-2	2025-01-30	2	255200010987, 255200010958
5-2	2025-02-11	2	255200010987, 255200010990
5-2	2025-01-30	2	255200011028, 255200010990
5-2	2025-02-11	1	255200010986
5-2	2025-01-30	1	255200010986
5-2	2025-03-03	1	255200010986
5-2	2025-02-11	1	255200011029
5-2	2025-01-30	1	255200011029
5-2	2025-03-03	1	255200011029
5-2	2025-03-11	1	255200011029
5-2	2025-02-11	1	255200011058
5-2	2025-01-30	3	255200011009, 255200011065, 255200011058
5-2	2025-02-11	1	255200011090
5-2	2025-01-30	1	255200011090
5-2	2025-03-03	1	255200011090
5-2	2025-02-11	1	255200011074
5-2	2025-01-30	1	255200011074
5-2	2025-02-11	2	255200011070, 255200011067
5-2	2025-01-30	1	255200011067
5-2	2025-03-03	1	255200011067
5-2	2025-02-17	1	255200011109
5-2	2025-01-30	1	255200011109
5-2	2025-02-24	1	255200011109
5-2	2025-02-17	1	255200011139
5-2	2025-02-03	1	255200011139
5-2	2025-02-11	1	255200011110
5-2	2025-01-30	1	255200011110
5-2	2025-03-03	1	255200011110
5-2	2025-02-03	2	255200011994, 255200011134
5-2	2025-02-18	1	255200011170
5-2	2025-02-03	1	255200011170
5-2	2025-02-11	1	255200011184
5-2	2025-01-30	1	255200011184
5-2	2025-02-03	1	255200012052
5-2	2025-02-06	1	255200012052
5-2	2025-02-25	1	255200012052
5-2	2025-02-03	1	255200012195
5-2	2025-02-17	1	255200012158
5-2	2025-02-03	1	255200012158
5-2	2025-02-18	1	255200012196
5-2	2025-02-03	2	255200012196, 255200011940
5-2	2025-02-17	1	255200012201
5-2	2025-02-03	2	255200012202, 255200012201
5-2	2025-02-17	1	255200012202
5-2	2025-02-04	1	255200012205
5-2	2025-02-17	1	255200012211
5-2	2025-02-04	2	255200012211, 255200012207
5-2	2025-02-17	1	255200012207
5-2	2025-02-03	1	255200012204
5-2	2025-02-17	1	255200012204
5-2	2025-02-04	1	255200012215
5-2	2025-02-17	1	255200012260
5-2	2025-02-03	1	255200012260
5-2	2025-03-03	1	255200012260
5-2	2025-02-04	1	255200012265
5-2	2025-02-18	2	255200012265, 255200012267
5-2	2025-02-04	1	255200012267
5-2	2025-02-03	1	255200012315
5-2	2025-02-04	1	255200012271
5-2	2025-02-18	1	255200012271
5-2	2025-02-03	2	255200012341, 255200012321
5-2	2025-02-18	1	255200012316
5-2	2025-02-03	2	255200012361, 255200012316
5-2	2025-02-17	1	255200012355
5-2	2025-02-04	1	255200012355
5-2	2025-02-17	1	255200012350
5-2	2025-02-03	2	255200012368, 255200012350
5-2	2025-02-17	1	255200012351
5-2	2025-02-03	1	255200012351
5-2	2025-02-17	1	255200012420
5-2	2025-02-03	2	255200012420, 255200012559
5-2	2025-02-17	1	255200012539
5-2	2025-02-03	1	255200012539
5-2	2025-02-17	1	255200012450
5-2	2025-02-03	2	255200012450, 255200012565
5-2	2025-02-05	1	255200012565
5-2	2025-02-03	1	255200012376
5-2	2025-02-17	1	255200012378
5-2	2025-02-04	1	255200012378
5-2	2025-02-03	1	255200012564
5-2	2025-02-17	1	255200012568
5-2	2025-02-03	2	255200012568, 255200012570
5-2	2025-02-17	1	255200012599
5-2	2025-02-03	2	255200012599, 255200012584
5-2	2025-02-17	1	255200012604
5-2	2025-02-03	1	255200012604
5-2	2025-02-17	1	255200012647
5-2	2025-02-03	2	255200012647, 255200012630
5-2	2025-02-17	1	255200012630
5-2	2025-02-03	1	255200012648
5-2	2025-02-17	1	255200012661
5-2	2025-02-05	1	255200012661
5-2	2025-02-03	1	255200012677
5-2	2025-02-05	1	255200012654
5-2	2025-02-17	1	255200012676
5-2	2025-02-03	2	255200012676, 255200012689
5-2	2025-02-17	1	255200012688
5-2	2025-02-03	2	255200012688, 255200012701
5-2	2025-02-10	1	255200012701
5-2	2025-02-03	2	255200012722, 255200012703
5-2	2025-02-17	1	255200012714
5-2	2025-02-03	2	255200012714, 255200012709
5-2	2025-02-17	1	255200012728
5-2	2025-02-05	1	255200012728
5-2	2025-02-03	2	255200012710, 255200012708
5-2	2025-02-05	2	255200012739, 255200012734
5-2	2025-02-03	9	255200012776, 255200012771, 255200012753, 255200012761, 255200012758, 255200012755, 255200012752, 255200012760, 255200012756
5-2	2025-02-17	1	255200012761
5-2	2025-02-03	2	255200012764, 255200012766
5-2	2025-02-17	1	255200012764
5-2	2025-02-03	1	255200012777
5-2	2025-02-17	1	255200012777
5-2	2025-02-03	2	255200012812, 255200012786
5-2	2025-02-11	1	255200012786
5-2	2025-02-17	1	255200012801
5-2	2025-02-03	6	255200012816, 255200012813, 255200012798, 255200012801, 255200012790, 255200012815
5-2	2025-02-17	1	255200012819
5-2	2025-02-03	1	255200012819
5-2	2025-02-17	1	255200012819
5-2	2025-02-03	2	255200012840, 255200012837
5-2	2025-02-17	1	255200012835
5-2	2025-02-03	3	255200012844, 255200012847, 255200012835
5-2	2025-02-17	1	255200012832
5-2	2025-02-03	1	255200012832
5-2	2025-02-17	1	255200012834
5-2	2025-02-03	1	255200012834
5-2	2025-02-24	1	255200012843
5-2	2025-02-03	1	255200012843
5-2	2025-02-17	1	255200012850
5-2	2025-02-03	2	255200012850, 255200012854
5-2	2025-02-17	1	255200012858
5-2	2025-02-03	4	255200012880, 255200012858, 255200012876, 255200012875
5-2	2025-02-17	1	255200012880
5-2	2025-02-03	2	255200012874, 255200012864
5-2	2025-02-17	1	255200012864
5-2	2025-02-03	1	255200012863
5-2	2025-02-17	1	255200012896
5-2	2025-02-03	1	255200012896
5-2	2025-02-20	1	255200012901
5-2	2025-02-12	1	255200012901
5-2	2025-02-05	2	255200012899, 255200012904
5-2	2025-02-17	1	255200012904
5-2	2025-03-20	1	255200012897
5-2	2025-03-27	1	255200012897
5-2	2025-02-03	1	255200012909
5-2	2025-02-17	1	255200012909
5-2	2025-02-18	1	255200012906
5-2	2025-02-03	1	255200012906
5-2	2025-02-17	1	255200012898
5-2	2025-02-05	2	255200012898, 255200012908
5-2	2025-02-03	1	255200012911
5-2	2025-02-10	1	255200012911
5-2	2025-02-03	1	255200012915
5-2	2025-02-17	1	255200012919
5-2	2025-02-05	1	255200012919
5-2	2025-02-17	1	255200012914
5-2	2025-02-03	1	255200012914
5-2	2025-02-17	1	255200012912
5-2	2025-02-05	1	255200012912
5-2	2025-02-03	1	255200012921
5-2	2025-02-17	1	255200012920
5-2	2025-02-05	1	255200012920
5-2	2025-02-17	1	255200012924
5-2	2025-02-03	1	255200012924
5-2	2025-02-17	1	255200012925
5-2	2025-02-03	1	255200012925
5-2	2025-02-12	1	255200012922
5-2	2025-03-06	1	255200012930
5-2	2025-02-11	1	255200012927
5-2	2025-02-17	1	255200015317
5-2	2025-02-03	1	255200015317
5-2	2025-02-12	1	255200012933
5-2	2025-02-17	1	255200015420
5-2	2025-02-04	1	255200015420
5-2	2025-02-12	1	255200012932
5-2	2025-02-18	1	255200015448
5-2	2025-02-04	1	255200015448
5-2	2025-02-18	1	255200015449
5-2	2025-02-04	4	255200015567, 255200015525, 255200015449, 255200015531
5-2	2025-02-17	1	255200015632
5-2	2025-02-04	4	255200015632, 255200015575, 255200015585, 255200015661
5-2	2025-02-25	1	255200015661
5-2	2025-02-04	2	255200015678, 255200015619
5-2	2025-02-17	1	255200015693
5-2	2025-02-04	2	255200015709, 255200015693
5-2	2025-02-06	2	255200015746, 255200015738
5-2	2025-02-03	1	255200015715
5-2	2025-02-04	1	255200015725
5-2	2025-02-17	1	255200015725
5-2	2025-02-06	1	255200015754
5-2	2025-02-18	1	255200015793
5-2	2025-02-06	2	255200015780, 255200015793
5-2	2025-02-18	1	255200015780
5-2	2025-02-04	1	255200015870
5-2	2025-02-25	1	255200015870
5-2	2025-02-04	1	255200015884
5-2	2025-02-18	1	255200015953
5-2	2025-02-06	1	255200015953
5-2	2025-02-04	1	255200015883
5-2	2025-02-06	1	255200016005
5-2	2025-02-24	1	255200016005
5-2	2025-02-20	1	255200016049
5-2	2025-02-04	7	255200015892, 255200016060, 255200016051, 255200016049, 255200016053, 255200016059, 255200016052
5-2	2025-02-17	1	255200016066
5-2	2025-02-04	2	255200016068, 255200016066
5-2	2025-02-17	1	255200016068
5-2	2025-02-18	1	255200016069
5-2	2025-02-06	1	255200016069
5-2	2025-02-04	2	255200016073, 255200016075
5-2	2025-02-06	1	255200016077
5-2	2025-02-18	1	255200016072
5-2	2025-02-06	1	255200016072
5-2	2025-02-04	1	255200016082
5-2	2025-02-18	1	255200016082
5-2	2025-02-17	1	255200016079
5-2	2025-02-04	2	255200016088, 255200016079
5-2	2025-02-05	1	255200016088
5-2	2025-02-04	2	255200016090, 255200016084
5-2	2025-02-17	1	255200016090
5-2	2025-02-05	1	255200016090
5-2	2025-02-04	1	255200016092
5-2	2025-02-05	1	255200016092
5-2	2025-02-04	1	255200016087
5-2	2025-02-17	1	255200016087
5-2	2025-02-04	1	255200016093
5-2	2025-02-05	1	255200016093
5-2	2025-02-04	1	255200016089
5-2	2025-02-05	1	255200016089
5-2	2025-02-04	1	255200016096
5-2	2025-02-18	1	255200016096
5-2	2025-02-05	1	255200016096
5-2	2025-02-18	1	255200016094
5-2	2025-02-06	1	255200016094
5-2	2025-02-04	1	255200016103
5-2	2025-02-05	1	255200016103
5-2	2025-02-04	1	255200016112
5-2	2025-02-05	1	255200016112
5-2	2025-02-04	1	255200016114
5-2	2025-02-05	1	255200016114
5-2	2025-02-04	1	255200016102
5-2	2025-02-05	1	255200016102
5-2	2025-02-17	1	255200016102
5-2	2025-02-04	1	255200016110
5-2	2025-02-05	1	255200016110
5-2	2025-02-04	1	255200016107
5-2	2025-02-18	1	255200016107
5-2	2025-02-05	1	255200016107
5-2	2025-02-06	1	255200016115
5-2	2025-02-18	1	255200016116
5-2	2025-02-06	2	255200016116, 255200016129
5-2	2025-02-18	1	255200016129
5-2	2025-02-04	1	255200016125
5-2	2025-02-10	1	255200016125
5-2	2025-02-04	1	255200016118
5-2	2025-02-05	1	255200016118
5-2	2025-02-04	1	255200016126
5-2	2025-02-10	1	255200016126
5-2	2025-02-06	1	255200016120
5-2	2025-02-04	1	255200016123
5-2	2025-02-05	1	255200016123
5-2	2025-02-04	1	255200016132
5-2	2025-02-05	1	255200016132
5-2	2025-02-04	1	255200016137
5-2	2025-02-05	1	255200016137
5-2	2025-02-04	1	255200016151
5-2	2025-02-05	1	255200016151
5-2	2025-02-04	1	255200016153
5-2	2025-02-05	1	255200016153
5-2	2025-02-24	1	255200016153
5-2	2025-02-06	1	255200016168
5-2	2025-02-20	1	255200016168
5-2	2025-02-04	1	255200016160
5-2	2025-02-20	1	255200016160
5-2	2025-02-05	1	255200016160
5-2	2025-02-04	1	255200016143
5-2	2025-02-05	1	255200016143
5-2	2025-02-20	1	255200016162
5-2	2025-02-06	2	255200016162, 255200016171
5-2	2025-02-18	1	255200016177
5-2	2025-02-04	1	255200016177
5-2	2025-02-06	1	255200016182
5-2	2025-03-13	1	255200016182
5-2	2025-02-06	2	255200016184, 255200016181
5-2	2025-02-18	1	255200016192
5-2	2025-02-06	2	255200016200, 255200016192
5-2	2025-02-13	1	255200016200
5-2	2025-02-06	2	255200016205, 255200016188
5-2	2025-02-04	1	255200016231
5-2	2025-02-18	1	255200016190
5-2	2025-02-06	1	255200016190
5-2	2025-02-18	1	255200016217
5-2	2025-02-06	1	255200016217
5-2	2025-02-04	1	255200016288
5-2	2025-02-17	1	255200016288
5-2	2025-02-04	3	255200016299, 255200016304, 255200016324
5-2	2025-02-17	1	255200016304
5-2	2025-02-04	1	255200016293
5-2	2025-02-17	1	255200016293
5-2	2025-02-04	3	255200016416, 255200016268, 255200016388
5-2	2025-02-18	1	255200016433
5-2	2025-02-04	4	255200016433, 255200016429, 255200016436, 255200016438
5-2	2025-02-17	1	255200016438
5-2	2025-02-06	1	255200016445
5-2	2025-02-17	1	255200016452
5-2	2025-02-04	2	255200016452, 255200016437
5-2	2025-02-18	2	255200016461, 255200016437
5-2	2025-02-04	1	255200016461
5-2	2025-02-06	1	255200016463
5-2	2025-02-20	1	255200016463
5-2	2025-02-18	1	255200016451
5-2	2025-02-06	2	255200016451, 255200016466
5-2	2025-02-17	1	255200016489
5-2	2025-02-04	2	255200016489, 255200016477
5-2	2025-02-17	1	255200016478
5-2	2025-02-04	3	255200016496, 255200016471, 255200016478
5-2	2025-02-18	1	255200016494
5-2	2025-02-06	1	255200016494
5-2	2025-02-18	1	255200016474
5-2	2025-02-06	1	255200016474
5-2	2025-02-18	1	255200016474
5-2	2025-02-04	1	255200016498
5-2	2025-02-17	1	255200016498
5-2	2025-02-04	3	255200016524, 255200016510, 255200016507
5-2	2025-02-06	2	255200016520, 255200016505
5-2	2025-02-04	1	255200016526
5-2	2025-02-24	1	255200016526
5-2	2025-02-06	1	255200016499
5-2	2025-02-04	2	255200016643, 255200016549
5-2	2025-02-06	2	255200016617, 255200016653
5-2	2025-02-04	1	255200016649
5-2	2025-02-17	1	255200016656
5-2	2025-02-04	1	255200016656
5-2	2025-03-10	1	255200016656
5-2	2025-02-04	1	255200016577
5-2	2025-02-17	1	255200016577
5-2	2025-02-04	1	255200016576
5-2	2025-02-06	1	255200016684
5-2	2025-02-17	1	255200016712
5-2	2025-02-04	1	255200016712
5-2	2025-02-06	1	255200016695
5-2	2025-02-04	1	255200016836
5-2	2025-02-11	1	255200016836
5-2	2025-02-17	1	255200016854
5-2	2025-02-04	2	255200016854, 255200016846
5-2	2025-02-11	1	255200016846
5-2	2025-02-18	1	255200016846
5-2	2025-02-06	2	255200016838, 255200016864
5-2	2025-02-04	2	255200016877, 255200016871
5-2	2025-02-11	1	255200016871
5-2	2025-02-18	1	255200016871
5-2	2025-02-04	1	255200016863
5-2	2025-02-11	1	255200016863
5-2	2025-02-18	2	255200016863, 255200016898
5-2	2025-02-06	2	255200016898, 255200016893
5-2	2025-03-04	1	255200017575
5-2	2025-02-06	1	255200016883
5-2	2025-02-24	1	255200016883
5-2	2025-02-06	1	255200016891
5-2	2025-02-18	1	255200016899
5-2	2025-02-06	1	255200016899
5-2	2025-03-04	1	255200016895
5-2	2025-02-04	1	255200016885
5-2	2025-02-17	1	255200016885
5-2	2025-02-04	1	255200017827
5-2	2025-02-17	2	255200017827, 255200017818
5-2	2025-02-04	1	255200017818
5-2	2025-02-17	1	255200017831
5-2	2025-02-04	1	255200017831
5-2	2025-02-18	1	255200017857
5-2	2025-02-06	6	255200017855, 255200017857, 255200017861, 255200017852, 255200017860, 255200017856
5-2	2025-02-17	1	255200017834
5-2	2025-02-04	1	255200017834
5-2	2025-02-06	3	255200017872, 255200017868, 255200017871
5-2	2025-02-20	1	255200017872
5-2	2025-02-06	4	255200017875, 255200017873, 255200017867, 255200017876
5-2	2025-02-17	1	255200017884
5-2	2025-02-04	1	255200017884
5-2	2025-02-06	1	255200017877
5-2	2025-02-20	1	255200017890
5-2	2025-02-06	2	255200017890, 255200017901
5-2	2025-02-04	1	255200017886
5-2	2025-02-17	1	255200017885
5-2	2025-02-04	1	255200017885
5-2	2025-02-06	3	255200017943, 255200017922, 255200017945
5-2	2025-02-18	1	255200017948
5-2	2025-02-06	1	255200017948
5-2	2025-02-18	1	255200017949
5-2	2025-02-06	1	255200017949
5-2	2025-02-18	1	255200017952
5-2	2025-02-06	3	255200017962, 255200017956, 255200017952
5-2	2025-02-18	1	255200017957
5-2	2025-02-06	2	255200017966, 255200017957
5-2	2025-02-20	1	255200017966
5-2	2025-02-06	2	255200017959, 255200017964
5-2	2025-02-20	1	255200017971
5-2	2025-02-06	2	255200017971, 255200017974
5-2	2025-02-13	1	255200017974
5-2	2025-02-06	7	255200017989, 255200017972, 255200017980, 255200017981, 255200017969, 255200017976, 255200017977
5-2	2025-02-18	1	255200017990
5-2	2025-02-06	1	255200017990
5-2	2025-02-18	1	255200017990
5-2	2025-02-25	1	255200017990
5-2	2025-02-06	3	255200018057, 255200017987, 255200017982
5-2	2025-05-29	1	255200018057
5-2	2025-02-04	1	255200018005
5-2	2025-02-18	1	255200018062
5-2	2025-02-05	1	255200018062
5-2	2025-02-27	1	255200018062
5-2	2025-02-18	1	255200018061
5-2	2025-02-05	2	255200018061, 255200018113
5-2	2025-02-18	1	255200018113
5-2	2025-02-05	1	255200018072
5-2	2025-02-27	1	255200018072
5-2	2025-03-07	1	255200018072
5-2	2025-02-05	2	255200018132, 255200018118
5-2	2025-02-17	1	255200018128
5-2	2025-02-05	2	255200018128, 255200018156
5-2	2025-02-18	2	255200018156, 255200018174
5-2	2025-02-05	1	255200018174
5-2	2025-02-18	1	255200018177
5-2	2025-02-05	1	255200018177
5-2	2025-02-17	1	255200018157
5-2	2025-02-05	1	255200018157
5-2	2025-02-10	1	255200018202
5-2	2025-02-18	1	255200018199
5-2	2025-02-05	1	255200018199
5-2	2025-02-17	1	255200018205
5-2	2025-02-05	2	255200018205, 255200018209
5-2	2025-02-10	1	255200018210
5-2	2025-02-05	2	255200018206, 255200018237
5-2	2025-02-10	3	255200018226, 255200018247, 255200018246
5-2	2025-02-17	1	255200018247
5-2	2025-02-10	6	255200018259, 255200018263, 255200018224, 255200018253, 255200018248, 255200018251
5-2	2025-02-11	1	255200018266
5-2	2025-02-10	1	255200018255
5-2	2025-02-11	1	255200018267
5-2	2025-02-18	1	255200018317
5-2	2025-02-05	1	255200018317
5-2	2025-02-10	1	255200018262
5-2	2025-02-05	1	255200018274
5-2	2025-02-24	1	255200018347
5-2	2025-02-06	3	255200018347, 255200018362, 255200018351
5-2	2025-02-18	1	255200018349
5-2	2025-02-06	2	255200018349, 255200018334
5-2	2025-02-18	1	255200018334
5-2	2025-02-17	1	255200018365
5-2	2025-02-06	2	255200018365, 255200018364
5-2	2025-02-24	1	255200018359
5-2	2025-02-06	1	255200018359
5-2	2025-02-24	1	255200018383
5-2	2025-02-06	1	255200018383
5-2	2025-02-17	1	255200018367
5-2	2025-02-06	1	255200018367
5-2	2025-02-17	1	255200018393
5-2	2025-02-06	1	255200018393
5-2	2025-02-17	1	255200018406
5-2	2025-02-06	1	255200018406
5-2	2025-02-17	1	255200018400
5-2	2025-02-06	1	255200018400
5-2	2025-02-13	1	255200018392
5-2	2025-02-06	1	255200018372
5-2	2025-02-11	1	255200018373
5-2	2025-02-20	1	255200018373
5-2	2025-02-06	1	255200018411
5-2	2025-02-13	2	255200018442, 255200018435
5-2	2025-02-20	1	255200018442
5-2	2025-03-17	1	255200018442
5-2	2025-02-06	1	255200018458
5-2	2025-02-13	2	255200018429, 255200018445
5-2	2025-02-06	1	255200018436
5-2	2025-02-13	1	255200018460
5-2	2025-02-06	1	255200018438
5-2	2025-03-13	1	255200018438
5-2	2025-02-18	1	255200018474
5-2	2025-02-06	1	255200018474
5-2	2025-02-13	2	255200018472, 255200018481
5-2	2025-02-10	1	255200018487
5-2	2025-02-27	1	255200018487
5-2	2025-02-17	1	255200018476
5-2	2025-02-06	1	255200018476
5-2	2025-02-13	1	255200018482
5-2	2025-02-10	10	255200018513, 255200018521, 255200018485, 255200018530, 255200018512, 255200018497, 255200018518, 255200018528, 255200018533, 255200018495
5-2	2025-02-17	1	255200018533
