court	docket_date	case_count	case_numbers
1-1	2025-01-27	8	251100008873, 251100008896, 251100008860, 251100008935, 251100008977, 251100008916, 251100008946, 251100008924
1-1	2025-02-10	1	251100008977
1-1	2025-01-27	1	251100009020
1-1	2025-02-03	1	251100009020
1-1	2025-01-27	5	251100008959, 251100009091, 251100008960, 251100008987, 251100009082
1-1	2025-02-03	1	251100008960
1-1	2025-01-27	2	251100009118, 251100009101
1-1	2025-01-28	1	251100010190
1-1	2025-01-27	1	251100009131
1-1	2025-02-03	1	251100009131
1-1	2025-01-28	3	251100010262, 251100010274, 251100010251
1-1	2025-01-27	1	251100009170
1-1	2025-01-28	3	251100010293, 251100010266, 251100010287
1-1	2025-01-27	1	251100010323
1-1	2025-01-28	2	251100010329, 251100010344
1-1	2025-02-17	1	251100010344
1-1	2025-01-28	10	251100010479, 251100010404, 251100010690, 251100010704, 251100010689, 251100010498, 251100010378, 251100010468, 251100010695, 251100010568
1-1	2025-01-29	1	251100010747
1-1	2025-03-05	1	251100010747
1-1	2025-01-29	1	251100010816
1-1	2025-01-28	1	251100010842
1-1	2025-01-29	3	251100010797, 251100010845, 251100010849
1-1	2025-02-05	1	251100010849
1-1	2025-02-20	1	251100010849
1-1	2025-01-28	1	251100010850
1-1	2025-01-29	7	251100010840, 251100010851, 251100010857, 251100010928, 251100010925, 251100010831, 251100010855
1-1	2025-01-28	1	251100011030
1-1	2025-01-30	1	251100011030
1-1	2025-01-29	1	251100010932
1-1	2025-02-05	1	251100010932
1-1	2025-01-29	4	251100011051, 251100010920, 251100010977, 251100011036
1-1	2025-01-28	1	251100011094
1-1	2025-01-29	4	251100011998, 251100011120, 251100011059, 251100011111
1-1	2025-01-27	1	251100011123
1-1	2025-01-29	3	251100011124, 251100012002, 251100012005
1-1	2025-02-05	1	251100012005
1-1	2025-01-29	1	251100012017
1-1	2025-02-05	1	251100012017
1-1	2025-01-29	2	251100012024, 251100012152
1-1	2025-02-10	1	251100012152
1-1	2025-01-29	1	251100012143
1-1	2025-01-27	1	251100012216
1-1	2025-02-03	1	251100012216
1-1	2025-02-17	1	251100012216
1-1	2025-03-04	1	251100012216
1-1	2025-03-12	1	251100012216
1-1	2025-01-29	1	251100012150
1-1	2025-01-27	1	251100012221
1-1	2025-02-03	1	251100012221
1-1	2025-02-17	1	251100012221
1-1	2025-03-04	1	251100012221
1-1	2025-03-12	1	251100012221
1-1	2025-01-29	3	251100012488, 251100012429, 251100012446
1-1	2025-02-03	1	251100012488
1-1	2025-01-29	1	251100012497
1-1	2025-02-05	1	251100012497
1-1	2025-02-20	1	251100012497
1-1	2025-01-29	5	251100012507, 251100012516, 251100012505, 251100012502, 251100012526
1-1	2025-04-02	1	251100012526
1-1	2025-01-29	11	251100012557, 251100012562, 251100012530, 251100012592, 251100012510, 251100012600, 251100012540, 251100012506, 251100012554, 251100012513, 251100012529
1-1	2025-02-05	1	251100012600
1-1	2025-01-29	5	251100012617, 251100012596, 251100012586, 251100012566, 251100012665
1-1	2025-02-05	1	251100012665
1-1	2025-02-19	1	251100012665
1-1	2025-01-29	1	251100012655
1-1	2025-02-11	1	251100012655
1-1	2025-01-29	6	251100012694, 251100012699, 251100012686, 251100012700, 251100012658, 251100012698
1-1	2025-02-17	1	251100012694
1-1	2025-01-29	1	251100012716
